,0,1,2,3,4,5,6
0,/en-gb/samples/,911,427,35167.0,23,149,197
1,/en-gb/oral-health/,838,453,22697.0,78,384,186
2,/en-gb/registration/,360,266,49599.0,22,43,82
3,/samples/,174,67,6103.0,0,25,19
4,/en-gb/vpv/register/complete,173,160,17930.0,0,1,48
5,/oral-health/,124,64,1419.0,8,47,27
6,/en-gb/my-profile/forgot-password/,119,111,12546.0,3,8,17
7,/en-gb/thank-you/?errorcode=0,112,108,3137.0,23,41,33
8,/en-gb/my-profile/personal-detail/,103,58,1274.0,0,1,1
9,/en-gb/oral-health/brands/,91,69,3410.0,4,11,16
10,/en-gb/patient-care-resources/,86,67,6728.0,0,6,18
11,/en-gb/my-profile/professional-detail/,64,40,2366.0,0,0,4
12,/en-gb/learning-lab/educational-resources/,59,42,4340.0,1,9,21
13,/en-gb/learning-lab/,57,43,2349.0,9,12,14
14,/registration/,46,33,7543.0,2,4,9
15,/my-profile/personal-detail/,36,18,223.0,0,0,0
16,/en-gb/contact-us/,35,29,4265.0,2,4,20
17,/oral-health/brands/,32,21,487.0,1,5,8
18,/my-profile/professional-detail/,30,17,967.0,0,0,1
19,/en-gb/oral-health/brands/sensodyne/overview/,24,17,1591.0,0,1,5
20,/en-gb/oral-health/conditions/,23,18,1382.0,1,3,4
21,/en-gb/my-profile/communication-preference/,22,20,171.0,0,0,1
22,/my-profile/forgot-password/,22,20,2792.0,0,0,2
23,/en-gb/oral-health/brands/sensodyne/science/novamin/,18,14,165.0,4,6,11
24,"/en-gb/thank-you/?errorcode=403002 ""account activation link expired""",18,15,919.0,3,7,6
25,/oral-health/brands/sensodyne/overview/,18,7,568.0,0,1,1
26,/patient-care-resources/,16,13,419.0,0,2,3
27,/en-gb/search-results/?_charset_=utf-8&:cq_csrf_token=undefined,15,8,1947.0,1,1,5
28,/en-gb/oral-health/brands/sensodyne/products/rapid-relief/,12,7,185.0,0,0,3
29,/en-gb/oral-health/conditions/sensitivity/causes-and-mechanisms/,12,11,553.0,5,6,8
30,/thank-you/?errorcode=0,12,12,520.0,0,3,5
31,/contact-us/,11,9,1594.0,0,1,2
32,/learning-lab/,11,8,81.0,0,1,0
33,/oral-health/brands/sensodyne/products/rapid-relief/,11,7,3367.0,0,0,1
34,/oral-health/brands/sensodyne/products/repair-and-protect/,11,4,630.0,0,1,2
35,/en-gb/oral-health/brands/sensodyne/products/repair-and-protect/,9,8,564.0,3,4,4
36,/my-profile/communication-preference/,9,9,79.0,0,0,0
37,/en-gb/oral-health/brands/sensodyne/products/,8,6,139.0,0,1,0
38,/en-gb/oral-health/brands/sensodyne/science/stannous-fluoride/,8,7,628.0,0,3,1
39,/en-gb/my-profile/account-details/,7,6,17.0,0,0,0
40,/en-gb/oral-health/brands/sensodyne/products/daily-care/,7,6,10.0,3,5,4
41,/en-gb/oral-health/conditions/sensitivity/diagnosis/,7,4,2236.0,0,1,2
42,/en-gb/oral-health/conditions/sensitivity/management/,6,2,1631.0,0,1,0
43,/en-gb/my-profile/delete-account/,5,4,61.0,0,0,0
44,/en-gb/oral-health/conditions/sensitivity/overview/,5,4,2515.0,0,2,0
45,/content/cf-consumer-healthcare/health-professionals/en_gb/home/oral-health.html,4,4,25.0,0,0,3
46,/en-gb/oral-health/brands/sensodyne/science/,4,3,41.0,0,0,0
47,/en-gb/sitemap/,4,4,0.0,2,2,4
48,/learning-lab/educational-resources/,4,4,70.0,0,0,2
49,/oral-health/conditions/,4,3,21.0,0,1,1
50,/en-gb/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.9dyfpb5munwbylws7wgbm2vbejdsmxgvx7tub8a8nao,3,1,466.0,0,1,0
51,/en-gb/oral-health/brands/sensodyne/products/complete-protection/,3,2,122.0,0,1,0
52,/en-gb/privacy-notice/,3,3,27.0,1,2,1
53,/oral-health/brands/sensodyne/products/,3,2,13.0,0,0,0
54,/oral-health/brands/sensodyne/science/novamin/,3,3,726.0,0,1,1
55,/acceptable-use-policy/,2,1,33.0,0,0,0
56,/en-gb/accessibility/,2,2,7.0,0,1,0
57,/en-gb/learning-lab/other-learning-resources/,2,1,28.0,0,0,0
58,/en-gb/my-profile/reset-password/,2,2,8.0,0,0,1
59,/en-gb/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.nm9lvfkuzckrnaowshw5q7wbdiw38fvhb9nxtyik9pu,2,1,56.0,0,1,1
60,/en-gb/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.o8ojrtrchp7orpcjncrmidmmvzv_7m11wgorsxz-kz4,2,1,74.0,0,0,1
61,/en-gb/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.ps5hufvrlfppffepr2pwlxxpin3gjca868zbjkfcqv8,2,2,0.0,2,2,2
62,/en-gb/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.q4e0j9kpdhyylp7xb7kn3udwdhkvngrsi1sbfdfcfao,2,1,30.0,0,1,1
63,/en-gb/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.qrh7_wuohys6om6koj--5rve9m5bgqld6g3r9wjz6cm,2,2,0.0,2,2,2
64,/en-gb/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.rg8nieiz8rykkdvez40jr_lstuuyswegbq5sis_fqk0,2,1,258.0,0,0,0
65,/en-gb/search-results/,2,2,20.0,0,0,0
66,/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.zgo8tdbyun6prtu8re8gtmjtouhxefe4szh8-xty_sy,2,2,55.0,1,1,1
67,/oral-health/brands/sensodyne/products/true-white/,2,1,79.0,0,0,0
68,/oral-health/brands/sensodyne/science/stannous-fluoride/,2,2,168.0,0,0,2
69,/oral-health/conditions/sensitivity/overview/,2,2,62.0,0,0,0
70,/privacy-notice/,2,1,140.0,0,0,0
71,/terms-of-use/,2,1,30.0,0,0,0
72,"/thank-you/?errorcode=403002 ""account activation link expired""",2,2,13.0,0,1,0
73,/cf-consumer-healthcare/health-professionals/en_gb/home/oral-health.html,1,1,4.0,0,0,0
74,/en-gb/global-landing/,1,1,0.0,1,1,1
75,/en-gb/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.1yxscvfiydu6cq4ne_ryubmsguzrmaefjnupre0zg8c,1,1,58.0,0,0,0
76,/en-gb/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.4jhteix2mkup9fbodllwr96lwogpae3sjzz_lv6-ukw,1,1,166.0,0,1,0
77,/en-gb/my-profile/reset-password/?apikey=3_q1scxlh_ppkkzyrv2fcoqturqnxufmrjgq4arvk6t3iny6auktn02whqgpsjpo0e&pwrt=tk1.550t10pgtzz1m3qg29o3zg5jiilpqpyja6mcsu_sv20,1,1,849.0,0,1,0
